date,timestamp,timestamp_ms,intensity
2026-03-04,2026-03-04 04:54:10,1772600050000,1
2026-03-04,2026-03-04 05:06:10,1772600770000,1
2026-03-04,2026-03-04 05:09:10,1772600950000,1
2026-03-04,2026-03-04 05:12:10,1772601130000,1
2026-03-04,2026-03-04 05:18:10,1772601490000,1
2026-03-04,2026-03-04 05:24:10,1772601850000,2
2026-03-04,2026-03-04 05:27:10,1772602030000,1
2026-03-04,2026-03-04 05:39:10,1772602750000,1
2026-03-04,2026-03-04 05:48:10,1772603290000,1
2026-03-04,2026-03-04 06:03:10,1772604190000,1
2026-03-04,2026-03-04 06:09:10,1772604550000,1
2026-03-04,2026-03-04 06:12:10,1772604730000,1
2026-03-04,2026-03-04 06:39:10,1772606350000,1
2026-03-04,2026-03-04 06:51:10,1772607070000,1
2026-03-04,2026-03-04 06:54:10,1772607250000,1
2026-03-05,2026-03-05 01:48:33,1772675313000,1
2026-03-05,2026-03-05 01:57:33,1772675853000,1
2026-03-05,2026-03-05 02:09:33,1772676573000,1
2026-03-05,2026-03-05 02:12:33,1772676753000,1
2026-03-05,2026-03-05 02:42:33,1772678553000,1
2026-03-05,2026-03-05 03:24:33,1772681073000,1
2026-03-05,2026-03-05 03:33:33,1772681613000,1
2026-03-05,2026-03-05 03:42:33,1772682153000,1
2026-03-05,2026-03-05 03:45:33,1772682333000,1
2026-03-05,2026-03-05 04:12:33,1772683953000,1
2026-03-05,2026-03-05 04:27:33,1772684853000,1
2026-03-05,2026-03-05 04:39:33,1772685573000,1
2026-03-05,2026-03-05 04:45:33,1772685933000,1
2026-03-05,2026-03-05 04:54:33,1772686473000,1
2026-03-05,2026-03-05 05:00:33,1772686833000,1
2026-03-05,2026-03-05 05:27:33,1772688453000,1
2026-03-05,2026-03-05 05:30:33,1772688633000,1
2026-03-05,2026-03-05 05:39:33,1772689173000,1
2026-03-05,2026-03-05 05:42:33,1772689353000,1
2026-03-05,2026-03-05 05:57:33,1772690253000,1
2026-03-05,2026-03-05 06:09:33,1772690973000,1
2026-03-05,2026-03-05 06:18:33,1772691513000,1
2026-03-05,2026-03-05 06:21:33,1772691693000,2
2026-03-05,2026-03-05 06:33:33,1772692413000,1
2026-03-05,2026-03-05 06:48:33,1772693313000,1
2026-03-05,2026-03-05 06:54:33,1772693673000,1
2026-03-05,2026-03-05 07:00:33,1772694033000,1
2026-03-05,2026-03-05 07:15:33,1772694933000,1
2026-03-06,2026-03-06 00:46:05,1772757965000,1
2026-03-06,2026-03-06 00:58:05,1772758685000,1
2026-03-06,2026-03-06 01:01:05,1772758865000,1
2026-03-06,2026-03-06 01:10:05,1772759405000,2
2026-03-06,2026-03-06 01:52:05,1772761925000,2
2026-03-06,2026-03-06 01:58:05,1772762285000,1
2026-03-06,2026-03-06 02:04:05,1772762645000,1
2026-03-06,2026-03-06 02:10:05,1772763005000,1
2026-03-06,2026-03-06 02:13:05,1772763185000,1
2026-03-06,2026-03-06 02:37:05,1772764625000,1
2026-03-06,2026-03-06 02:46:05,1772765165000,1
2026-03-06,2026-03-06 02:52:05,1772765525000,2
2026-03-06,2026-03-06 03:10:05,1772766605000,1
2026-03-06,2026-03-06 03:16:05,1772766965000,1
2026-03-06,2026-03-06 03:22:05,1772767325000,2
2026-03-06,2026-03-06 03:55:05,1772769305000,1
2026-03-06,2026-03-06 04:10:05,1772770205000,1
2026-03-06,2026-03-06 04:19:05,1772770745000,2
2026-03-06,2026-03-06 04:31:05,1772771465000,1
2026-03-06,2026-03-06 04:34:05,1772771645000,2
2026-03-06,2026-03-06 05:07:05,1772773625000,2
2026-03-06,2026-03-06 05:10:05,1772773805000,1
2026-03-06,2026-03-06 05:52:05,1772776325000,1
2026-03-06,2026-03-06 06:01:05,1772776865000,2
2026-03-06,2026-03-06 06:34:05,1772778845000,1
2026-03-06,2026-03-06 06:46:05,1772779565000,1
2026-03-06,2026-03-06 07:22:05,1772781725000,1
2026-03-06,2026-03-06 07:28:05,1772782085000,1
2026-03-06,2026-03-06 07:34:05,1772782445000,1
2026-03-06,2026-03-06 07:43:05,1772782985000,1
2026-03-06,2026-03-06 08:04:05,1772784245000,1
2026-03-07,2026-03-07 01:35:03,1772847303000,1
2026-03-07,2026-03-07 01:41:03,1772847663000,1
2026-03-07,2026-03-07 02:11:03,1772849463000,1
2026-03-07,2026-03-07 02:14:03,1772849643000,1
2026-03-07,2026-03-07 02:17:03,1772849823000,1
2026-03-07,2026-03-07 02:29:03,1772850543000,1
2026-03-07,2026-03-07 02:38:03,1772851083000,1
2026-03-07,2026-03-07 02:47:03,1772851623000,1
2026-03-07,2026-03-07 02:56:03,1772852163000,1
2026-03-07,2026-03-07 03:02:03,1772852523000,1
2026-03-07,2026-03-07 03:29:03,1772854143000,1
2026-03-07,2026-03-07 03:35:03,1772854503000,1
2026-03-07,2026-03-07 03:53:03,1772855583000,1
2026-03-07,2026-03-07 04:23:03,1772857383000,1
2026-03-07,2026-03-07 04:32:03,1772857923000,1
2026-03-07,2026-03-07 04:38:03,1772858283000,1
2026-03-07,2026-03-07 04:41:03,1772858463000,1
2026-03-07,2026-03-07 05:23:03,1772860983000,1
2026-03-07,2026-03-07 05:35:03,1772861703000,1
2026-03-07,2026-03-07 05:50:03,1772862603000,1
2026-03-07,2026-03-07 06:11:03,1772863863000,1
2026-03-07,2026-03-07 06:14:03,1772864043000,1
2026-03-07,2026-03-07 06:20:03,1772864403000,1
2026-03-07,2026-03-07 06:41:03,1772865663000,1
2026-03-07,2026-03-07 06:50:03,1772866203000,1
2026-03-07,2026-03-07 06:53:03,1772866383000,1
